"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.8
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",9e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0.001
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",7e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0.0011
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",9e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.0012
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.0014
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",9e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.0011
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",8e-04
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",9e-04
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.0032
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.0064
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.0132
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.0301
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.0608
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.1057
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.1478
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.1556
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.1399
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.1023
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.0607
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.0292
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.0157
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.0051
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.0025
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.0023
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.0012
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.0012
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",9e-04
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",8e-04
