"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.6
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",2e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0.001
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.0021
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.0051
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.0107
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.0193
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.0264
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.0388
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.051
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.0649
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.0736
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.0902
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.0953
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.0856
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.0786
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.074
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.0601
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.0504
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.0418
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.0331
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.0255
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.0217
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.0121
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.0105
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.0081
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.0049
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.0036
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.0026
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.002
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.001
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",6e-04
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",5e-04
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",2e-04
