"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,2.5
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",4e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",1e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",3e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",2e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",2e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",1e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",2e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",1e-04
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",1e-04
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",1e-04
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",7e-04
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",6e-04
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.0034
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.0061
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.0107
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.0211
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.0339
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.0485
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.0552
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.0791
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.0877
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.0962
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.0879
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.081
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.074
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.0604
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.0504
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.0503
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.0429
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.0294
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.0218
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.0154
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.0107
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.0068
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0.0059
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0.0045
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0.0024
"HHS Region 1","1 wk ahead","Bin","percent","4.0","4.1",0.0013
"HHS Region 1","1 wk ahead","Bin","percent","4.1","4.2",7e-04
"HHS Region 1","1 wk ahead","Bin","percent","4.2","4.3",4e-04
"HHS Region 1","1 wk ahead","Bin","percent","4.3","4.4",3e-04
