"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.3
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",2e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",6e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",7e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",6e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",8e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.002
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.0036
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.0055
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.0194
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.0411
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.0617
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.0991
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.1406
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.1493
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.1367
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.1102
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.0713
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.0486
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.0258
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.0095
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.0028
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.0012
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",5e-04
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",4e-04
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",4e-04
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",3e-04
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",6e-04
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",8e-04
