"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,3.5
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",1e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",2e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",4e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",2e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",9e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",6e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",6e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",5e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",7e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",7e-04
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",6e-04
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",8e-04
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.001
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.0013
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.0014
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.0021
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.0019
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.002
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.0018
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.0026
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.0021
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.0028
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.0021
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.0034
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.0042
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.0064
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.004
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.0072
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.0114
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.0203
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.0272
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.0521
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.0674
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.1016
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.1427
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.1196
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.1104
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0.0803
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0.0606
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0.0315
"HHS Region 1","1 wk ahead","Bin","percent","4.0","4.1",0.0236
"HHS Region 1","1 wk ahead","Bin","percent","4.1","4.2",0.013
"HHS Region 1","1 wk ahead","Bin","percent","4.2","4.3",0.0075
"HHS Region 1","1 wk ahead","Bin","percent","4.3","4.4",0.0067
"HHS Region 1","1 wk ahead","Bin","percent","4.4","4.5",0.0029
"HHS Region 1","1 wk ahead","Bin","percent","4.5","4.6",0.0031
"HHS Region 1","1 wk ahead","Bin","percent","4.6","4.7",0.004
"HHS Region 1","1 wk ahead","Bin","percent","4.7","4.8",0.0026
"HHS Region 1","1 wk ahead","Bin","percent","4.8","4.9",0.0019
"HHS Region 1","1 wk ahead","Bin","percent","4.9","5.0",0.0029
"HHS Region 1","1 wk ahead","Bin","percent","5.0","5.1",0.002
"HHS Region 1","1 wk ahead","Bin","percent","5.1","5.2",0.003
