"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",3e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",5e-04
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0.0038
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0.0084
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0.0191
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.0411
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.059
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.0891
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.1024
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.1271
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.1467
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.1403
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.1001
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.058
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.0403
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.02
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.0258
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.0103
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.0064
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.001
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",3e-04
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0
"HHS Region 1","1 wk ahead","Bin","percent","4.0","4.1",0
