"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"Alabama","1 wk ahead","Point","percent",NA,NA,3.2
"Alabama","1 wk ahead","Bin","percent","0.0","0.1",0
"Alabama","1 wk ahead","Bin","percent","0.1","0.2",6e-04
"Alabama","1 wk ahead","Bin","percent","0.2","0.3",7e-04
"Alabama","1 wk ahead","Bin","percent","0.3","0.4",5e-04
"Alabama","1 wk ahead","Bin","percent","0.4","0.5",7e-04
"Alabama","1 wk ahead","Bin","percent","0.5","0.6",0.0014
"Alabama","1 wk ahead","Bin","percent","0.6","0.7",0.0021
"Alabama","1 wk ahead","Bin","percent","0.7","0.8",0.0017
"Alabama","1 wk ahead","Bin","percent","0.8","0.9",0.0019
"Alabama","1 wk ahead","Bin","percent","0.9","1.0",0.004
"Alabama","1 wk ahead","Bin","percent","1.0","1.1",0.004
"Alabama","1 wk ahead","Bin","percent","1.1","1.2",0.0051
"Alabama","1 wk ahead","Bin","percent","1.2","1.3",0.0064
"Alabama","1 wk ahead","Bin","percent","1.3","1.4",0.0072
"Alabama","1 wk ahead","Bin","percent","1.4","1.5",0.0097
"Alabama","1 wk ahead","Bin","percent","1.5","1.6",0.0106
"Alabama","1 wk ahead","Bin","percent","1.6","1.7",0.0134
"Alabama","1 wk ahead","Bin","percent","1.7","1.8",0.0138
"Alabama","1 wk ahead","Bin","percent","1.8","1.9",0.0138
"Alabama","1 wk ahead","Bin","percent","1.9","2.0",0.0198
"Alabama","1 wk ahead","Bin","percent","2.0","2.1",0.0229
"Alabama","1 wk ahead","Bin","percent","2.1","2.2",0.0247
"Alabama","1 wk ahead","Bin","percent","2.2","2.3",0.0279
"Alabama","1 wk ahead","Bin","percent","2.3","2.4",0.0317
"Alabama","1 wk ahead","Bin","percent","2.4","2.5",0.0301
"Alabama","1 wk ahead","Bin","percent","2.5","2.6",0.0346
"Alabama","1 wk ahead","Bin","percent","2.6","2.7",0.0331
"Alabama","1 wk ahead","Bin","percent","2.7","2.8",0.0371
"Alabama","1 wk ahead","Bin","percent","2.8","2.9",0.037
"Alabama","1 wk ahead","Bin","percent","2.9","3.0",0
"Alabama","1 wk ahead","Bin","percent","3.0","3.1",0.0409
"Alabama","1 wk ahead","Bin","percent","3.1","3.2",0.0401
"Alabama","1 wk ahead","Bin","percent","3.2","3.3",0.0388
"Alabama","1 wk ahead","Bin","percent","3.3","3.4",0.0412
"Alabama","1 wk ahead","Bin","percent","3.4","3.5",0.0407
"Alabama","1 wk ahead","Bin","percent","3.5","3.6",0.0377
"Alabama","1 wk ahead","Bin","percent","3.6","3.7",0.04
"Alabama","1 wk ahead","Bin","percent","3.7","3.8",0.0296
"Alabama","1 wk ahead","Bin","percent","3.8","3.9",0.0326
"Alabama","1 wk ahead","Bin","percent","3.9","4.0",0.0268
"Alabama","1 wk ahead","Bin","percent","4.0","4.1",0.0254
"Alabama","1 wk ahead","Bin","percent","4.1","4.2",0.0267
"Alabama","1 wk ahead","Bin","percent","4.2","4.3",0.0221
"Alabama","1 wk ahead","Bin","percent","4.3","4.4",0.018
"Alabama","1 wk ahead","Bin","percent","4.4","4.5",0.0179
"Alabama","1 wk ahead","Bin","percent","4.5","4.6",0.0146
"Alabama","1 wk ahead","Bin","percent","4.6","4.7",0.0119
"Alabama","1 wk ahead","Bin","percent","4.7","4.8",0.0126
"Alabama","1 wk ahead","Bin","percent","4.8","4.9",0.0076
"Alabama","1 wk ahead","Bin","percent","4.9","5.0",0.0085
"Alabama","1 wk ahead","Bin","percent","5.0","5.1",0.0059
"Alabama","1 wk ahead","Bin","percent","5.1","5.2",0.0047
"Alabama","1 wk ahead","Bin","percent","5.2","5.3",0.0043
"Alabama","1 wk ahead","Bin","percent","5.3","5.4",0.0037
"Alabama","1 wk ahead","Bin","percent","5.4","5.5",0.0025
"Alabama","1 wk ahead","Bin","percent","5.5","5.6",0.0015
"Alabama","1 wk ahead","Bin","percent","5.6","5.7",0.0015
"Alabama","1 wk ahead","Bin","percent","5.7","5.8",0.0015
"Alabama","1 wk ahead","Bin","percent","5.8","5.9",0
"Alabama","1 wk ahead","Bin","percent","5.9","6.0",0.001
"Alabama","1 wk ahead","Bin","percent","6.0","6.1",4e-04
"Alabama","1 wk ahead","Bin","percent","6.1","6.2",4e-04
"Alabama","1 wk ahead","Bin","percent","6.2","6.3",7e-04
"Alabama","1 wk ahead","Bin","percent","6.3","6.4",6e-04
"Alabama","1 wk ahead","Bin","percent","6.4","6.5",0.001
"Alabama","1 wk ahead","Bin","percent","6.5","6.6",9e-04
"Alabama","1 wk ahead","Bin","percent","6.6","6.7",0.001
"Alabama","1 wk ahead","Bin","percent","6.7","6.8",6e-04
"Alabama","1 wk ahead","Bin","percent","6.8","6.9",5e-04
"Alabama","1 wk ahead","Bin","percent","6.9","7.0",7e-04
"Alabama","1 wk ahead","Bin","percent","7.0","7.1",8e-04
"Alabama","1 wk ahead","Bin","percent","7.1","7.2",6e-04
"Alabama","1 wk ahead","Bin","percent","7.2","7.3",0.001
"Alabama","1 wk ahead","Bin","percent","7.3","7.4",1e-04
"Alabama","1 wk ahead","Bin","percent","7.4","7.5",5e-04
"Alabama","1 wk ahead","Bin","percent","7.5","7.6",6e-04
"Alabama","1 wk ahead","Bin","percent","7.6","7.7",0
"Alabama","1 wk ahead","Bin","percent","7.7","7.8",5e-04
"Alabama","1 wk ahead","Bin","percent","7.8","7.9",9e-04
"Alabama","1 wk ahead","Bin","percent","7.9","8.0",4e-04
"Alabama","1 wk ahead","Bin","percent","8.0","8.1",0
"Alabama","1 wk ahead","Bin","percent","8.1","8.2",6e-04
"Alabama","1 wk ahead","Bin","percent","8.2","8.3",9e-04
"Alabama","1 wk ahead","Bin","percent","8.3","8.4",6e-04
"Alabama","1 wk ahead","Bin","percent","8.4","8.5",6e-04
"Alabama","1 wk ahead","Bin","percent","8.5","8.6",7e-04
"Alabama","1 wk ahead","Bin","percent","8.6","8.7",7e-04
"Alabama","1 wk ahead","Bin","percent","8.7","8.8",0
"Alabama","1 wk ahead","Bin","percent","8.8","8.9",5e-04
"Alabama","1 wk ahead","Bin","percent","8.9","9.0",3e-04
"Alabama","1 wk ahead","Bin","percent","9.0","9.1",3e-04
"Alabama","1 wk ahead","Bin","percent","9.1","9.2",2e-04
"Alabama","1 wk ahead","Bin","percent","9.2","9.3",4e-04
"Alabama","1 wk ahead","Bin","percent","9.3","9.4",4e-04
"Alabama","1 wk ahead","Bin","percent","9.4","9.5",4e-04
"Alabama","1 wk ahead","Bin","percent","9.5","9.6",0.0012
"Alabama","1 wk ahead","Bin","percent","9.6","9.7",9e-04
"Alabama","1 wk ahead","Bin","percent","9.7","9.8",5e-04
"Alabama","1 wk ahead","Bin","percent","9.8","9.9",6e-04
"Alabama","1 wk ahead","Bin","percent","9.9","10.0",9e-04
"Alabama","1 wk ahead","Bin","percent","10.0","10.1",8e-04
"Alabama","1 wk ahead","Bin","percent","10.1","10.2",8e-04
"Alabama","1 wk ahead","Bin","percent","10.2","10.3",7e-04
"Alabama","1 wk ahead","Bin","percent","10.3","10.4",3e-04
"Alabama","1 wk ahead","Bin","percent","10.4","10.5",6e-04
"Alabama","1 wk ahead","Bin","percent","10.5","10.6",9e-04
"Alabama","1 wk ahead","Bin","percent","10.6","10.7",0.0014
"Alabama","1 wk ahead","Bin","percent","10.7","10.8",2e-04
"Alabama","1 wk ahead","Bin","percent","10.8","10.9",0.0011
"Alabama","1 wk ahead","Bin","percent","10.9","11.0",2e-04
"Alabama","1 wk ahead","Bin","percent","11.0","11.1",5e-04
"Alabama","1 wk ahead","Bin","percent","11.1","11.2",7e-04
"Alabama","1 wk ahead","Bin","percent","11.2","11.3",5e-04
"Alabama","1 wk ahead","Bin","percent","11.3","11.4",6e-04
"Alabama","1 wk ahead","Bin","percent","11.4","11.5",5e-04
"Alabama","1 wk ahead","Bin","percent","11.5","11.6",4e-04
"Alabama","1 wk ahead","Bin","percent","11.6","11.7",0
"Alabama","1 wk ahead","Bin","percent","11.7","11.8",6e-04
"Alabama","1 wk ahead","Bin","percent","11.8","11.9",9e-04
"Alabama","1 wk ahead","Bin","percent","11.9","12.0",1e-04
"Alabama","1 wk ahead","Bin","percent","12.0","12.1",2e-04
"Alabama","1 wk ahead","Bin","percent","12.1","12.2",4e-04
"Alabama","1 wk ahead","Bin","percent","12.2","12.3",6e-04
"Alabama","1 wk ahead","Bin","percent","12.3","12.4",6e-04
"Alabama","1 wk ahead","Bin","percent","12.4","12.5",0.001
"Alabama","1 wk ahead","Bin","percent","12.5","12.6",3e-04
"Alabama","1 wk ahead","Bin","percent","12.6","12.7",7e-04
"Alabama","1 wk ahead","Bin","percent","12.7","12.8",8e-04
"Alabama","1 wk ahead","Bin","percent","12.8","12.9",9e-04
"Alabama","1 wk ahead","Bin","percent","12.9","13.0",0.0012
"Alabama","1 wk ahead","Bin","percent","13.0","100.0",0.0018
"Alabama","2 wk ahead","Point","percent",NA,NA,3.3
"Alabama","2 wk ahead","Bin","percent","0.0","0.1",0
"Alabama","2 wk ahead","Bin","percent","0.1","0.2",0.0024
"Alabama","2 wk ahead","Bin","percent","0.2","0.3",0.0029
"Alabama","2 wk ahead","Bin","percent","0.3","0.4",0.0019
"Alabama","2 wk ahead","Bin","percent","0.4","0.5",0.0038
"Alabama","2 wk ahead","Bin","percent","0.5","0.6",0.0032
"Alabama","2 wk ahead","Bin","percent","0.6","0.7",0.0034
"Alabama","2 wk ahead","Bin","percent","0.7","0.8",0.0046
"Alabama","2 wk ahead","Bin","percent","0.8","0.9",0.0052
"Alabama","2 wk ahead","Bin","percent","0.9","1.0",0.0075
"Alabama","2 wk ahead","Bin","percent","1.0","1.1",0.0074
"Alabama","2 wk ahead","Bin","percent","1.1","1.2",0.0082
"Alabama","2 wk ahead","Bin","percent","1.2","1.3",0.0096
"Alabama","2 wk ahead","Bin","percent","1.3","1.4",0.0094
"Alabama","2 wk ahead","Bin","percent","1.4","1.5",0.0123
"Alabama","2 wk ahead","Bin","percent","1.5","1.6",0.013
"Alabama","2 wk ahead","Bin","percent","1.6","1.7",0.0152
"Alabama","2 wk ahead","Bin","percent","1.7","1.8",0.0149
"Alabama","2 wk ahead","Bin","percent","1.8","1.9",0.0161
"Alabama","2 wk ahead","Bin","percent","1.9","2.0",0.0189
"Alabama","2 wk ahead","Bin","percent","2.0","2.1",0.0201
"Alabama","2 wk ahead","Bin","percent","2.1","2.2",0.0207
"Alabama","2 wk ahead","Bin","percent","2.2","2.3",0.022
"Alabama","2 wk ahead","Bin","percent","2.3","2.4",0.0253
"Alabama","2 wk ahead","Bin","percent","2.4","2.5",0.0259
"Alabama","2 wk ahead","Bin","percent","2.5","2.6",0.0266
"Alabama","2 wk ahead","Bin","percent","2.6","2.7",0.0269
"Alabama","2 wk ahead","Bin","percent","2.7","2.8",0.0294
"Alabama","2 wk ahead","Bin","percent","2.8","2.9",0.0279
"Alabama","2 wk ahead","Bin","percent","2.9","3.0",0
"Alabama","2 wk ahead","Bin","percent","3.0","3.1",0.0309
"Alabama","2 wk ahead","Bin","percent","3.1","3.2",0.0277
"Alabama","2 wk ahead","Bin","percent","3.2","3.3",0.0314
"Alabama","2 wk ahead","Bin","percent","3.3","3.4",0.0271
"Alabama","2 wk ahead","Bin","percent","3.4","3.5",0.0297
"Alabama","2 wk ahead","Bin","percent","3.5","3.6",0.0326
"Alabama","2 wk ahead","Bin","percent","3.6","3.7",0.0335
"Alabama","2 wk ahead","Bin","percent","3.7","3.8",0.0295
"Alabama","2 wk ahead","Bin","percent","3.8","3.9",0.0275
"Alabama","2 wk ahead","Bin","percent","3.9","4.0",0.0276
"Alabama","2 wk ahead","Bin","percent","4.0","4.1",0.026
"Alabama","2 wk ahead","Bin","percent","4.1","4.2",0.026
"Alabama","2 wk ahead","Bin","percent","4.2","4.3",0.0229
"Alabama","2 wk ahead","Bin","percent","4.3","4.4",0.0231
"Alabama","2 wk ahead","Bin","percent","4.4","4.5",0.02
"Alabama","2 wk ahead","Bin","percent","4.5","4.6",0.0192
"Alabama","2 wk ahead","Bin","percent","4.6","4.7",0.0159
"Alabama","2 wk ahead","Bin","percent","4.7","4.8",0.0161
"Alabama","2 wk ahead","Bin","percent","4.8","4.9",0.0144
"Alabama","2 wk ahead","Bin","percent","4.9","5.0",0.012
"Alabama","2 wk ahead","Bin","percent","5.0","5.1",0.0131
